"q_id" "satisfied" "avg_ans_num_tag" "avg_ans_num_for_user" "avg_ans_num_ph_tag" "member_duration" "num_ans_accepted" "num_ans_received" "post_time" "user_rating" "avg_ans_score_tag"
"32" 117 "0" 2.95 0 1.4048 20002923075 0 0 17 0 0.9756
"33" 124 "1" 2 3 1.3333 20001961496 0 3 12 2 2
"34" 128 "1" 3.0952 1 1.383 20009062970 1 3 4 22 1.1591
"35" 133 "0" 3.1364 0 1.38 20002914177 0 0 17 0 1.1591
"36" 138 "0" 3.1304 0 1.3585 20001951524 0 0 22 0 0.9016
"37" 144 "0" 3.3478 1 1.375 20010065485 0 1 4 56 0.9087
"38" 146 "1" 3.25 1.25 1.3684 20009062970 4 5 6 24 0.9087
"39" 147 "1" 3.25 1.25 1.3684 20009062970 4 5 6 28 0.9087
"40" 148 "1" 3.25 0 1.3684 20009902699 0 0 6 7 0.9087
"41" 152 "1" 3.1154 0 1.35 20002012669 1 0 13 0 0.9087
"42" 153 "0" 3.1154 0 1.35 20009940423 0 0 18 9 0.9087
"43" 159 "0" 3.0714 3.125 1.3438 20009933882 3 25 9 57 0.8244
"44" 162 "0" 3.0345 3.125 1.3333 20009933882 3 25 18 67 0.8244
"45" 166 "1" 3.0333 1.1667 1.3188 20009062970 6 7 6 39 0.5551
"46" 170 "1" 3.0323 0 1.3056 19990913086 0 0 21 0 0.8636
"47" 175 "0" 3.0625 3.2222 1.2895 20009933882 3 29 9 74 0.844
"48" 181 "0" 3.1212 1 1.3205 20002923075 0 1 20 17 0.844
"49" 182 "0" 1.2 2 1.5 20009934928 0 4 21 8 2.75
"50" 185 "0" 3.0882 4 1.3291 20009940423 0 4 4 20 0.7561
"51" 187 "0" 3.1176 3.3 1.325 20009933882 3 33 8 79 0.7561
"52" 198 "1" 1.5 0 1.8 19990084806 0 0 20 0 2.6
"53" 200 "0" 1.4286 3.5455 1.6667 20009933882 3 39 9 88 2.3333
"54" 202 "0" 3.2571 0 1.3256 19998899580 0 0 9 0 0.7369
"55" 206 "0" 3.1944 2 1.3218 20009902699 1 2 13 24 0.7369
"56" 212 "0" 3.2432 1.1429 1.3187 20009062970 7 8 4 44 0.6558
"57" 215 "0" 2.5 3.6364 1.25 20009933882 3 40 18 100 2.375
"58" 217 "0" 3.2368 3.6364 1.3085 20009933882 3 40 7 101 0.5103
"59" 219 "0" 3.1795 3.4167 1.3053 20009933882 3 41 10 105 0.5103
"60" 220 "0" 3.1795 3.4167 1.3053 20009933882 3 41 15 112 0.5103
"61" 225 "0" 3.0732 0 1.299 20007963121 0 0 14 2 0.5217
"62" 231 "1" 3.119 1 1.2843 20009934805 2 2 20 24 0.5002
"63" 235 "1" 3.1163 0 1.2762 19907021310 0 0 14 0 0.5006
"64" 242 "1" 3.1818 1 1.2613 20002012669 1 1 13 1 0.5732
"65" 245 "0" 3.1556 3.1429 1.2566 20009933882 3 44 8 128 0.552
"66" 248 "0" 3.1304 0 1.2522 20009923692 0 0 2 25 0.5317
"67" 249 "0" 3.1304 0 1.2522 20009922316 0 0 22 0 0.5317
"68" 253 "1" 3.1277 0 1.2564 19913999611 0 0 15 0 0.4646
"69" 256 "0" 3.1042 2 1.2521 19913999611 0 2 16 1 0.5027
"70" 259 "0" 3.0816 2 1.2479 20007963121 0 2 15 24 0.484
"71" 262 "0" 3.06 0 1.2439 19992023083 0 0 7 0 0.475
"72" 267 "1" 3 0 1.5 20009923692 0 0 18 36 2
"73" 273 "1" 3.0962 0 1.2385 19917093591 0 0 11 1 0.2557
"74" 280 "0" 3.1509 0 1.237 20009940505 0 0 22 2 0.2039
"75" 283 "1" 2 3.5 1.3333 19913999611 1 7 13 6 1.5
"76" 284 "1" 1.4286 3.5 1.6667 19913999611 1 7 14 7 2.1429
"77" 289 "0" 3.1667 0 1.2302 19709995412 0 0 13 0 0.1814
"78" 292 "0" 3.1455 4 1.227 20009940423 0 4 1 34 0.1814
"79" 296 "1" 1.6 2.25 1.1429 19913999611 1 9 18 8 2.1667
"80" 298 "1" 3.1607 0 1.2207 20004982999 0 0 3 0 0.3672
"81" 307 "0" 3.2456 4 1.2252 20009940505 0 4 19 7 0.3657
"82" 308 "1" 1.375 2.25 1.5714 19913999611 1 9 19 9 2
"83" 315 "1" 2 0 1.3333 20005981010 0 0 13 31 3.6667
"84" 318 "1" 2.5 4 1.25 20009902699 1 8 20 40 2.3
"85" 325 "0" 3.2586 3 1.2194 20009902699 2 9 5 42 0.307
"86" 328 "1" 3.2373 0 1.2166 19695961311 0 0 16 0 0.2931
"87" 334 "0" 3.2333 3 1.2125 20009902699 2 12 21 46 0.4241
"88" 341 "1" 1.5 2.3333 1.3636 19913999611 4 14 23 18 1.9
"89" 343 "1" 2.2 0 1.2222 19990970305 1 0 9 16 2.1818
"90" 344 "0" 3.2787 0 1.2121 20002012795 0 0 10 0 0.4067
"91" 346 "1" 3.2951 2.1429 1.2108 19913999611 5 15 12 19 0.4067
"92" 352 "0" 3.2742 0 1.2083 19914004803 0 0 12 0 0.3987
"93" 354 "1" 1.5455 0 1.3077 19700093499 0 0 23 0 1.8182
"94" 357 "0" 1.5833 1 1.3571 20005981010 1 1 2 32 1.9167
"95" 359 "1" 1.5833 0 1.3571 20009934408 0 0 18 0 1.9167
"96" 363 "1" 2 0 1.2 19607930587 0 0 18 14 2.1818
"97" 365 "1" 3.3387 3.6 1.2035 20009902699 2 18 21 62 0.3892
"98" 367 "0" 1.5385 0 1.3333 19599990580 0 0 21 0 1.9167
"99" 369 "0" 1.8571 1 1.1818 19607930587 1 1 17 18 2.1667
"100" 370 "1" 1.8571 1 1.1818 19607930587 1 1 18 19 2.1667
"101" 371 "0" 1.8571 1 1.1818 19607930587 1 1 18 20 2.1667
"102" 374 "0" 2 0 1 19716990118 0 0 21 0 4.5
"103" 376 "1" 3.3333 1 1.2 20005981010 1 1 15 36 0.4646
"104" 380 "1" 1.75 0 1.1667 19505004570 0 0 22 0 2.0769
"105" 381 "1" 3.3281 2 1.1966 20005981010 2 4 2 41 0.4863
"106" 384 "1" 3.2923 1 1.1955 19716990118 0 1 20 3 0.4988
"107" 387 "0" 3.2727 2.25 1.1934 19913999611 6 18 6 20 0.4807
"108" 389 "1" 1.6429 0 1.2778 19788092971 0 0 0 0 1.8667
"109" 391 "0" 2.4545 0 1.0385 19888022116 0 0 9 0 1.2632
"110" 393 "0" 1.6667 2.5 1.1538 20010065485 0 5 4 90 2.0714
"111" 397 "1" 3.2537 1 1.1913 19990084806 2 1 0 1 0.5229
"112" 400 "0" 3.2206 0 1.1902 10591039800 0 0 10 0 0.5229
"113" 405 "0" 3.2029 0 1.1882 19606063973 0 0 1 0 0.5335
"114" 407 "0" 1.6 2.2222 1.1429 19913999611 6 20 15 27 2.0714
"115" 408 "0" 3.1714 2 1.1872 20010065485 0 6 20 93 0.5335
"116" 409 "0" 3.1714 0 1.1872 20002934326 0 0 21 2 0.5335
"117" 414 "0" 1.6 0 1.2632 10602054073 0 0 15 0 1.9333
"118" 416 "1" 3.1831 0 1.1832 19600024494 0 0 16 0 0.5308
"119" 420 "0" 3.1528 0 1.1823 10505009624 0 0 6 0 0.5235
"120" 422 "1" 1.6 1 1.1429 19600024494 1 1 13 2 2.0714
"121" 424 "0" 3.1233 0 1.1813 10596001803 0 0 20 6 0.5235
"122" 426 "1" 1.5625 0 1.25 19490073905 0 0 3 0 1.9375
"123" 431 "1" 1.5294 2.3333 1.2381 19913999611 6 21 17 29 1.8824
"124" 432 "1" 1.5455 0 1.1333 10588994696 0 0 10 0 2
"125" 434 "0" 3.1216 2.3333 1.1786 19913999611 6 21 2 39 0.5529
"126" 439 "1" 3.12 1.6667 1.1759 20005981010 2 5 17 52 0.5426
"127" 443 "0" 3.1184 0 1.1733 10497994983 0 0 16 0 0.5153
"128" 447 "0" 3.1169 0 1.1707 20010064199 0 0 3 88 0.4962
"129" 448 "0" 3.1169 1.75 1.1707 20010065485 0 7 4 96 0.4962
"130" 450 "1" 3.0897 0 1.1699 10303930609 0 0 11 0 0.4962
"131" 456 "1" 3.1013 1 1.1722 10303930609 1 1 9 6 0.5167
"132" 458 "1" 3.075 2 1.1714 10588994696 1 2 3 8 0.4979
"133" 463 "0" 1.4615 0 1.1176 19989123818 0 0 22 0 1.8
"134" 468 "1" 3.061 0 1.1674 10212125315 1 0 0 0 0.4542
"135" 470 "0" 3.0361 0 1.1667 10213074004 0 0 1 0 0.4411
"136" 474 "1" 3.0238 0 1.1651 10390119593 1 0 12 0 0.4657
"137" 477 "1" 3.0118 0 1.1636 10289965313 1 0 13 0 0.4901
"138" 479 "0" 2.9884 0 1.1629 10198982892 0 0 14 0 0.4828
"139" 482 "1" 2.977 0 1.1614 10288963593 1 0 17 0 0.5179
"140" 486 "1" 2.9773 0 1.1593 20002919816 0 0 20 0 0.6456
"141" 488 "1" 1.6667 1 1.2 19990970305 2 1 15 30 2.2308
"142" 490 "1" 1.6 1 1.0909 19990970305 3 2 10 32 2.28
"143" 495 "0" 2.9888 0 1.1565 10308914911 0 0 15 0 0.6929
"144" 497 "1" 1.6316 2.7273 1.1923 19913999611 9 30 15 70 2.2222
"145" 499 "0" 1.5833 2 1.1176 10288963593 1 2 10 8 2.2
"146" 502 "0" 2.9667 2.6667 1.1558 19913999611 10 32 3 71 0.714
"147" 504 "1" 2.9451 2.5385 1.1552 19913999611 10 33 19 71 0.7121
"148" 505 "0" 2.9451 2.5385 1.1552 19913999611 10 33 19 73 0.7121
"149" 508 "1" 2.9348 0 1.1538 10608023198 0 0 18 0 0.7144
"150" 512 "1" 2.9043 0 1.1519 19997963269 1 0 19 0 0.7171
"151" 514 "0" 2.8842 1 1.1513 19997963269 1 1 19 2 0.7171
"152" 518 "1" 2.8854 3 1.1542 10608023198 1 3 19 7 0.722
"153" 521 "1" 1.65 2.4 1.1786 19913999611 11 36 4 83 2.1724
"154" 523 "1" 2.8763 2.3125 1.1529 19913999611 13 37 0 84 0.7183
"155" 525 "1" 1.619 2.5 1.1724 10608023198 3 5 17 11 2.0968
"156" 528 "1" 1.5625 2 1.087 10608023198 4 6 9 13 2.2593
"157" 533 "1" 1.5909 0 1.1667 10005922896 0 0 19 0 2.129
"158" 535 "0" 2.1429 0 1 19914013387 0 0 13 0 2.2308
"159" 537 "0" 2.8673 0 1.1516 19996902390 0 0 13 0 0.7743
"160" 539 "1" 1.5556 0 1.0769 10004891569 0 0 20 0 2.3214
"161" 541 "1" 2.8485 2 1.151 10608023198 5 8 8 14 0.7744
"162" 543 "1" 1.6 2 1 19907021310 1 2 9 5 2.5
"163" 547 "0" 2.84 0 1.1498 10200030393 0 0 16 0 0.7804
"164" 549 "1" 2.8218 0 1.1492 20002934326 1 0 13 7 0.7785
"165" 551 "1" 2.8039 0 1.1486 10116922722 1 0 19 0 0.7825
